name,age,answers,cliente_codigo,_chave
João Almeida,42,"[""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree""]",7459.0,28359f7fc700f9b9904a3b619c84022c
Clara Silva,32,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Somewhat Disagree"", ""Somewhat Disagree""]",7326.0,ef9f2365f60ac8e2356e254c8c91488f
Carlos Menezes,36,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Disagree"", ""Somewhat Disagree""]",5062.0,ca13bee745eaeffb2c494385eeec9a47
Lucas,38,"[""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Disagree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree""]",6180.0,ef9f2365f60ac8e2356e254c8c91488f
Laura,31,"[""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Agree"", ""Somewhat Disagree""]",5458.0,ef9f2365f60ac8e2356e254c8c91488f
Lucas Ferreira,39,"[""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree""]",2206.0,28359f7fc700f9b9904a3b619c84022c
Carlos Silveira,30,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Neither"", ""Disagree""]",17211.0,28359f7fc700f9b9904a3b619c84022c
Camila,27,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Agree"", ""Disagree"", ""Disagree""]",13485.0,28359f7fc700f9b9904a3b619c84022c
Carlos,29,"[""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Somewhat Disagree"", ""Disagree""]",17529.0,28359f7fc700f9b9904a3b619c84022c
Maria da Penha,64,"[""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Somewhat Agree"", ""Somewhat Agree"", ""Agree"", ""Agree"", ""Disagree"", ""Disagree""]",10094.0,a855c5c74458a07ac7301a1a8df5b7ed
Ana Clara,25,"[""Agree"", ""Agree"", ""Strongly Agree"", ""Strongly Agree"", ""Agree"", ""Strongly Agree"", ""Agree"", ""Agree"", ""Agree"", ""Agree"", ""Somewhat Disagree"", ""Disagree""]",5380.0,ef9f2365f60ac8e2356e254c8c91488f
